R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2	2 C00048 <=> C01146 + C00011	4.1.1.47		RP02916  C00048_C01146 main [RC:RC00899]///RP05908  C00011_C00048 leave///RP13528  C00048_C01146 trans	rn00630: Glyoxylate and dicarboxylate metabolism///rn01100: Metabolic pathways	tartronate-semialdehyde synthase [EC:4.1.1.47]			
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2	C00022 + C00068 <=> C05125 + C00011	1.2.4.1///2.2.1.6///4.1.1.1	2-oxoglutarate dehydrogenase complex: pyruvate dehydrogenase (see R01699), subsequently R03270///TPP-dependent enzymatic reaction (see R00006), subsequently R03050///TPP-dependent enzymatic reaction (see R00226), subsequently R04672///TPP-dependent enzymatic reaction (see R00224), subsequently R00755///TPP-dependent enzymatic reaction (see R08648), subsequently R04673	RP00074  C00068_C05125 main [RC:RC00027]///RP02918  C00022_C05125 main [RC:RC02744]///RP05698  C00011_C00022 leave	rn00010: Glycolysis / Gluconeogenesis///rn00020: Citrate cycle (TCA cycle)///rn00620: Pyruvate metabolism///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01130: Biosynthesis of antibiotics	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]///pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]///pyruvate dehydrogenase E1 component [EC:1.2.4.1]///pyruvate decarboxylase [EC:4.1.1.1]///acetolactate synthase I/II/III large subunit [EC:2.2.1.6]///acetolactate synthase I/III small subunit [EC:2.2.1.6]///acetolactate synthase II small subunit [EC:2.2.1.6]			
R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase;///sucrose:sucrose 1F-beta-D-fructosyltransferase	2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose	2 C00089 <=> C00031 + C03661	2.4.1.99		RP00205  C00031_C00089 main [RC:RC00077]///RP02919  C00089_C03661 main [RC:RC00247]///RP13527  C00089_C03661 trans				Same as: R06135	
R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O	C00027 + 2 C00126 <=> 2 C00125 + 2 C00001	1.11.1.5		RP00038  C00125_C00126 cofac [RC:RC00016]///RP00130  C00001_C00027 leave					
R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2 Putrescine <=> sym-Homospermidine + Ammonia	2 C00134 <=> C06366 + C00014	2.5.1.44	homospermidine synthase	RP00468  C00134_C06366 main [RC:RC00053]///RP05912  C00014_C00134 leave///RP10308  C00134_C06366 trans	rn00960: Tropane, piperidine and pyridine alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites	homospermidine synthase [EC:2.5.1.44]			
R00019	hydrogen:ferredoxin oxidoreductase;///reduced ferredoxin:H+ oxidoreductase	2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin	2 C00138 + 2 C00080 <=> C00282 + 2 C00139	1.12.7.2///1.12.99.-				ferredoxin hydrogenase [EC:1.12.7.2]///ferredoxin hydrogenase large subunit [EC:1.12.7.2]///ferredoxin hydrogenase small subunit [EC:1.12.7.2]///ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]///F420-non-reducing hydrogenase large subunit [EC:1.12.99.-]///F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.-]///F420-non-reducing hydrogenase small subunit [EC:1.12.99.-]///membrane-bound hydrogenase subunit alpha [EC:1.12.7.2]///membrane-bound hydrogenase subunit beta [EC:1.12.7.2]///membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]			
R00021	L-glutamate:ferredoxin oxidoreductase (transaminating)	2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+	2 C00025 + 2 C00139 <=> C00064 + C00026 + 2 C00138 + 2 C00080	1.4.7.1	two-step reaction (see R00256+R10086)	RP00014  C00025_C00026 main [RC:RC00006]///RP00024  C00025_C00064 main [RC:RC00010]///RP06393  C00025_C00064 trans///RP13496  C00025_C00026 trans	rn00630: Glyoxylate and dicarboxylate metabolism///rn00910: Nitrogen metabolism///rn01120: Microbial metabolism in diverse environments	glutamate synthase (ferredoxin) [EC:1.4.7.1]			
R00022	chitobiose N-acetylglucosaminohydrolase	Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine	C01674 + C00001 <=> 2 C00140	3.2.1.52		RP02924  C00140_C01674 main [RC:RC00049]///RP05765  C00001_C00140 leave///RP13525  C00140_C01674 main [RC:RC00049]	rn00520: Amino sugar and nucleotide sugar metabolism	beta-N-acetylhexosaminidase [EC:3.2.1.52]		Same as: R06141	
R00023	hydroxylamine:NAD+ oxidoreductase;///NADH:hyponitrite oxidoreductase	2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+	2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080	1.7.1.5		RP00002  C00003_C00004 cofac [RC:RC00001]///RP02943  C00192_C01818 leave					
R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate	C01182 + C00011 + C00001 <=> 2 C00197	4.1.1.39	multi-step reaction (isomerization, carboxylation, hydration and cleavage)	RP00477  C00197_C01182 main [RC:RC00172]///RP05914  C00001_C00197 leave///RP07387  C00011_C00197 leave///RP13524  C00197_C01182 trans	rn00710: Carbon fixation in photosynthetic organisms///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments///rn01200: Carbon metabolism	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]///ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Reductive pentose phosphate cycle (Calvin cycle)///Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P		
R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)	Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O	C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001	1.13.12.16	Previously classified as 2-nitropropane dioxygenase (EC 1.13.11.32).	RP00013  C00001_C00007 cofac///RP00852  C00061_C01847 cofac [RC:RC00126]///RP06119  C00007_C00084 leave///RP14778  C00084_C18091 main [RC:RC02541]///RP14779  C00088_C18091 main [RC:RC02759]	rn00910: Nitrogen metabolism	nitronate monooxygenase [EC:1.13.12.16]			
R00026	cellobiose glucohydrolase	Cellobiose + H2O <=> 2 beta-D-Glucose	C00185 + C00001 <=> 2 C00221	3.2.1.21		RP02954  C00185_C00221 main [RC:RC00049]///RP05763  C00001_C00221 leave///RP12670  C00185_C00221 main [RC:RC00049]	rn00500: Starch and sucrose metabolism///rn01100: Metabolic pathways	beta-glucosidase [EC:3.2.1.21]///beta-glucosidase [EC:3.2.1.21]///beta-glucosidase [EC:3.2.1.21]		Same as: R06092	
R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	Benzoin <=> 2 Benzaldehyde	C01408 <=> 2 C00261	4.1.2.38		RP02955  C00261_C01408 main [RC:RC00906]///RP13523  C00261_C01408 main [RC:RC02327]					
R00028	maltose glucohydrolase	Maltose + H2O <=> 2 alpha-D-Glucose	C00208 + C00001 <=> 2 C00267	3.2.1.20		RP02961  C00208_C00267 main [RC:RC00049]///RP05714  C00001_C00267 leave///RP13522  C00208_C00267 main [RC:RC00049]	rn00500: Starch and sucrose metabolism///rn01100: Metabolic pathways	alpha-glucosidase [EC:3.2.1.20]///maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]///lysosomal alpha-glucosidase [EC:3.2.1.20]///neutral alpha-glucosidase C [EC:3.2.1.20]///alpha-glucosidase [EC:3.2.1.20]		Same as: R06084	
R00029	thiosulfate:ferricytochrome-c oxidoreductase	2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c	2 C00320 + 2 C00125 <=> C02084 + 2 C00126	1.8.2.2		RP00038  C00125_C00126 cofac [RC:RC00016]///RP02962  C00320_C02084 leave [RC:RC03109]					
R00031	1,2-benzenediol:oxygen oxidoreductase	Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine	C00007 + 2 C00082 <=> 2 C00355	1.10.3.1///1.14.18.1		RP00123  C00082_C00355 main [RC:RC00046]///RP05762  C00007_C00355 leave	rn00350: Tyrosine metabolism///rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites	polyphenol oxidase [EC:1.10.3.1]			
R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	beta-Carotene + Oxygen <=> 2 Retinal	C02094 + C00007 <=> 2 C00376	1.13.11.63///1.14.99.36	dioxygenase (ec 1.13.11.63)///three-step reaction (ec 1.14.99.36, see R10083+R10084+R10085)	RP02971  C00376_C02094 main [RC:RC00912]	rn00830: Retinol metabolism///rn01100: Metabolic pathways	beta-carotene 15,15'-monooxygenase [EC:1.14.99.36]			
R00033	thiamine:oxygen 5-oxidoreductase	Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde	C00378 + C00007 <=> C00027 + C05856	1.1.3.23	first step of two-step reaction (see R02132, R00033+R00072)///subsequently R00072 (without release of thiamine aldehyde from enzyme)	RP00006  C00007_C00027 cofac [RC:RC02755]///RP02981  C00378_C05856 main [RC:RC00087]	rn00730: Thiamine metabolism///rn01100: Metabolic pathways				
R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide	C03103 <=> 2 C08249	4.1.99.3	general reaction (see R08765)						
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O	2 C00430 <=> C00931 + 2 C00001	4.2.1.24		RP03000  C00430_C00931 main [RC:RC00918]///RP07475  C00001_C00430 leave///RP10369  C00430_C00931 main [RC:RC01781]	rn00860: Porphyrin and chlorophyll metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites	porphobilinogen synthase [EC:4.2.1.24]	Heme biosynthesis, glutamate => protoheme/siroheme		
R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	2 Propanal <=> 4-Hydroxyhexan-3-one	2 C00479 <=> C02948	4.1.2.35		RP03004  C00479_C02948 main [RC:RC00919]///RP13519  C00479_C02948 main [RC:RC02325]					
R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase	2 Raffinose <=> Lychnose + Sucrose	2 C00492 <=> C08242 + C00089	2.4.1.166		RP00235  C00089_C00492 main [RC:RC00059]///RP03009  C00492_C08242 main [RC:RC00059]///RP13426  C00492_C08242 trans				Same as: R06139	
R00041	long-chain-alcohol:oxygen oxidoreductase	2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O	2 C00339 + C00007 <=> 2 C00609 + 2 C00001	1.1.3.20		RP00013  C00001_C00007 cofac					
R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2	2 C01179 + C00007 <=> 2 C00642 + 2 C00011	1.2.3.13		RP03014  C00642_C01179 main [RC:RC00866]///RP05760  C00011_C01179 leave///RP07486  C00007_C00642 leave	rn00350: Tyrosine metabolism				
R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde	C04547 + C00007 <=> 2 C00755	1.13.11.43		RP03020  C00755_C04547 main [RC:RC00924]///RP07493  C00007_C00755 leave					
R00044	columbamine:oxygen oxidoreductase (cyclizing)	2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O	2 C01795 + C00007 <=> 2 C00757 + 2 C00001	1.21.3.2		RP00013  C00001_C00007 cofac///RP03021  C00757_C01795 main [RC:RC00925]	rn00950: Isoquinoline alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites				
R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O	C00007 + 2 C00355 <=> 2 C00822 + 2 C00001	1.10.3.1///1.14.18.1		RP00013  C00001_C00007 cofac///RP00507  C00355_C00822 main [RC:RC00180]	rn00350: Tyrosine metabolism///rn01100: Metabolic pathways	polyphenol oxidase [EC:1.10.3.1]			
R00047	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)	Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O	C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001	1.14.99.-	the enzyme from Pseudomonas fluorescens TN5 uses NADH as hydrogen-donor (see R08764)	RP00013  C00001_C00007 cofac///RP03032  C01020_C01059 main [RC:RC00115]///RP05929  C00007_C01059 leave///RP07517  C00011_C01020 leave					
R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate	C04546 + C00001 <=> 2 C01089	3.1.1.22		RP03042  C01089_C04546 main [RC:RC00037]///RP07519  C00001_C01089 leave///RP13518  C01089_C04546 main [RC:RC00094]	rn00650: Butanoate metabolism	hydroxybutyrate-dimer hydrolase [EC:3.1.1.22]			
R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose	2 C01158 <=> C00031 + C04101	2.3.1.90		RP00512  C00031_C01158 main [RC:RC00055]///RP03045  C01158_C04101 main [RC:RC00041]///RP13517  C01158_C04101 trans					
R00052	chloride:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O	C00027 + C01371 + C01327 <=> C01334 + 2 C00001	1.11.1.10		RP00130  C00001_C00027 cofac///RP03081  C01327_C01334 leave///RP13516  C01334_C01371 main [RC:RC02324]					
R00053	digallate acylhydrolase;///tannin acylhydrolase	Digallate + H2O <=> 2 Gallate	C01572 + C00001 <=> 2 C01424	3.1.1.20		RP03098  C01424_C01572 main [RC:RC00476]///RP07523  C00001_C01424 leave///RP13515  C01424_C01572 main [RC:RC00475]					
R00054	orsellinate-depside hydrolase	Lecanoric acid + H2O <=> 2 Orsellinate	C02868 + C00001 <=> 2 C01839	3.1.1.40		RP03099  C01839_C02868 main [RC:RC00476]///RP07544  C00001_C01839 leave///RP13514  C01839_C02868 main [RC:RC00475]					
R00055	inosine:oxygen 5'-oxidoreductase	2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O	2 C00294 + C00007 <=> 2 C01993 + 2 C00001	1.1.3.28	the first step of two-step reaction (see R05821, R00055+R05822)///subsequently R05822	RP00013  C00001_C00007 cofac///RP03102  C00294_C01993 main [RC:RC00450]					
R00056	dinucleotide nucleotidohydrolase	Dinucleotide + H2O <=> 2 Mononucleotide	C01910 + C00001 <=> 2 C02171	3.6.1.9	general reaction	RP03104  C01910_C02171 main [RC:RC00002]///RP07549  C00001_C02171 leave///RP12350  C01910_C02171 main [RC:RC00002]		ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]			
R00057	thiol:oxygen oxidoreductase	Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide	C00007 + 2 C01525 <=> C02318 + C00027	1.8.3.2		RP00006  C00007_C00027 cofac [RC:RC02755]///RP03122  C01525_C02318 main [RC:RC00946]					
R00058	catechol:oxygen oxidoreductase;///1,2-benzenediol:oxygen oxidoreductase	Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O	C00007 + 2 C00090 <=> 2 C02351 + 2 C00001	1.10.3.1///1.14.18.1		RP00013  C00001_C00007 cofac///RP03123  C00090_C02351 main [RC:RC00180]					
R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate	C01255 + C00001 <=> 2 C02378	3.5.1.46		RP03127  C01255_C02378 main [RC:RC00096]///RP05946  C00001_C02378 leave///RP13513  C01255_C02378 main [RC:RC00090]					
R00060	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O	C00007 + 2 C00495 <=> 2 C03036 + 2 C00001	1.21.3.4		RP00013  C00001_C00007 leave///RP13512  C00495_C03036 main [RC:RC02323]					
R00061	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O	C00007 + 2 C00495 <=> 2 C03040 + 2 C00001	1.21.3.5		RP00013  C00001_C00007 leave///RP13511  C00495_C03040 main [RC:RC02323]					
R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide	2 C03374 <=> C00486 + C05787	2.4.1.95		RP03159  C00486_C03374 main [RC:RC00523]///RP03165  C03374_C05787 main [RC:RC00523]///RP13510  C03374_C05787 trans					
R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase;///1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase	2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucoside + D-Glucose	2 C01175 <=> C04275 + C00031	2.3.1.103		RP00527  C00031_C01175 main [RC:RC00055]///RP03200  C01175_C04275 main [RC:RC00055]					
R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil	2 C04332 <=> C00255 + C04732	2.5.1.9		RP03206  C00255_C04332 main [RC:RC00958]///RP03210  C04332_C04732 main [RC:RC00960]///RP13521  C00255_C04332 trans	rn00740: Riboflavin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites	riboflavin synthase [EC:2.5.1.9]	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD		
R00067	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	2 e- + 2 H+ <=> Hydrogen	2 C05359 + 2 C00080 <=> C00282	1.18.6.1	a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)						
R00068	L-ascorbate:oxygen oxidoreductase	Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O	C00007 + 2 C00072 <=> 2 C05422 + 2 C00001	1.10.3.3		RP00013  C00001_C00007 cofac///RP00250  C00072_C05422 main [RC:RC00092]	rn00053: Ascorbate and aldarate metabolism///rn01100: Metabolic pathways	L-ascorbate oxidase [EC:1.10.3.3]			
R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase	Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O	C05565 + C00027 <=> C03680 + C00007 + C00001	1.14.13.-///1.17.3.2		RP00006  C00007_C00027 cofac [RC:RC02755]///RP03250  C03680_C05565 main [RC:RC00969]///RP07552  C00001_C05565 leave	rn00340: Histidine metabolism	NA  K00492			
R00070	D-urobilinogen:oxygen oxidoreductase	2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O	2 C05791 + C00007 <=> 2 C05795 + 2 C00001		non-enzymatic	RP00013  C00001_C00007 cofac///RP03251  C05791_C05795 main [RC:RC01983]	rn00860: Porphyrin and chlorophyll metabolism				
R00072	thiamine-aldehyde:oxygen 5-oxidoreductase	Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid	C05856 + C00007 + C00001 <=> C00027 + C02892	1.1.3.23	second step of two-step reaction (see R02132, R00033+R00072)///following after R00033	RP00006  C00007_C00027 cofac [RC:RC02755]///RP03303  C02892_C05856 main [RC:RC00080]///RP06857  C00001_C02892 leave	rn00730: Thiamine metabolism///rn01100: Metabolic pathways				1  [PMID:2988447]///Gomez-Moreno C, Edmondson DE.///Evidence for an aldehyde intermediate in the catalytic mechanism of thiamine oxidase.///Arch. Biochem. Biophys. 239 (1985) 46-52.
R00073	reduced acceptor:prostaglandin G2 oxidoreductase	Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor	C00427 + C00028 + C00001 <=> C05956 + C00030	1.14.99.1	the latter part (peroxidase) of multi-step reaction (see R01599, R01590+R00073)///following after R01590	RP03332  C00427_C05956 main [RC:RC00982]///RP13396  C00001_C05956 leave	rn00590: Arachidonic acid metabolism///rn01100: Metabolic pathways	prostaglandin-endoperoxide synthase 1 [EC:1.14.99.1]///prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]			
R00074	2-aminophenol:oxygen oxidoreductase (dimerizing)	4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O	4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001	1.10.3.4	multi-step reaction (see R08762+R08763)	RP00013  C00001_C00007 cofac///RP03341  C01987_C02161 main [RC:RC00767]///RP13506  C01987_C02161 main [RC:RC02319]	rn00380: Tryptophan metabolism				1  [PMID:14298835]///NAIR PM, VINING LC.///ESOPHENOXAZINE SYNTHASE APOENZYME FROM PYCNOPORUS COCCINEUS.///Biochim. Biophys. Acta. 96 (1965) 318-27.///2  [PMID:4166439]///Subba Rao PV, Vaidyanathan CS.///Studies on the metabolism of o-aminophenol. Purification and properties of isophenoxazine synthase from Bauhenia monandra.///Arch. Biochem. Biophys. 118 (1967) 388-94.///3  [PMID:16282322]///Suzuki H, Furusho Y, Higashi T, Ohnishi Y, Horinouchi S.///A novel o-aminophenol oxidase responsible for formation of the phenoxazinone chromophore of grixazone.///J. Biol. Chem. 281 (2006) 824-33.
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine	3 C00019 <=> 3 C00170 + C05324	2.5.1.43	multi-step reaction	RP00058  C00019_C00170 main [RC:RC00021]///RP03343  C00019_C05324 trans///RP13504  C00019_C05324 trans///RP13505  C00019_C05324 trans					
R00076	ATP:phosphorylase-b phosphotransferase;///ATP:[glycogen phosphorylase] phosphotransferase	4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a	4 C00002 + 2 C02308 <=> 4 C00008 + C02307	2.7.11.19		RP00003  C00002_C00008 main [RC:RC00002]					
