Compound	KEGG_ID
PRL	C18201
NS1	C18289
BHC	C18738
XMC	C18771
EXD	C19120
MMS	C19181
HBZ	C19313
NAT	C19478
APO	C19543
AFL	C19584
LOS	C19596
AP1	C19805
DBH	C19897
FdN	C19940
FdI	C19941
MCD	C20049
MTX	C20065
XQN	C20073
NTB	C20166
HIP	C20199
CBE	C20218
CBG	C20219
OEA	C20792
KDN	C20934
NAD+	C00003
NADH	C00004
DPNH	C00004
TPNH	C00005
NADP	C00006
Iron	C00023
H2O2	C00027
Heme	C00032
Haem	C00032
Zn2+	C00038
DNAn	C00039
RNAn	C00046
PAPS	C00053
tRNA	C00066
ThPP	C00068
Cu2+	C00070
RCHO	C00071
Ca2+	C00076
Urea	C00086
DCIP	C00102
PRPP	C00119
GSSG	C00127
dATP	C00131
Acid	C00174
Co2+	C00175
dADP	C00206
dCMP	C00239
rRNA	C00240
EDTA	C00284
dGTP	C00286
Mg2+	C00305
GABA	C00334
dAMP	C00360
dGDP	C00361
dGMP	C00362
dTDP	C00363
dTMP	C00364
dUMP	C00365
PGH2	C00427
dCTP	C00458
dTTP	C00459
dUTP	C00460
ABEE	C00568
cAMP	C00575
PGE2	C00584
PGD2	C00696
Base	C00701
Hg2+	C00703
O2.-	C00704
dCDP	C00705
R-CN	C00726
LTA4	C00909
cGMP	C00942
PGB1	C00959
DHEA	C01227
PGI2	C01312
E-64	C01341
NH4+	C01342
RHg+	C01343
dIDP	C01344
dITP	C01345
dUDP	C01346
dXDP	C01347
dXTP	C01348
ACTH	C02017
TPCK	C02088
LTB4	C02165
LTC4	C02166
TXA2	C02198
PCMB	C03444
ADMA	C03626
DEHP	C03690
MGDG	C03692
DMPT	C04022
DMSP	C04022
EPNP	C04274
HQNO	C04284
MPTP	C04599
PGA1	C04685
DAHP	C04691
PGE1	C04741
DSHA	C04844
GM1a	C04911
GD1a	C04927
Diol	C05484
LTD4	C05951
LTE4	C05952
PGA2	C05953
PGB2	C05954
PGC2	C05955
PGG2	C05956
PGJ2	C05957
TXB2	C05963
TGDG	C06036
DGDG	C06037
GT1a	C06138
GT1b	C06140
GD1b	C06141
cDPG	C06189
dIMP	C06196
LXA4	C06314
LXB4	C06315
LTF4	C06462
DAOC	C06565
DNTP	C06604
DETP	C06607
DDMU	C06637
DDMS	C06638
DDOH	C06639
DDNU	C06642
Lead	C06696
Pb2+	C06696
PMSF	C06747
BCNU	C06873
DKDI	C06891
DKHP	C06893
CDDP	C06911
DMPP	C07488
PEMA	C07499
TCDD	C07557
MDMA	C07577
HLo7	C07596
5-FU	C07649
LAAM	C08012
DMTS	C08372
Agar	C08815
DMDP	C10143
NDGA	C10719
PTCA	C10917
DMPS	C10922
DEET	C10935
DEGA	C10936
DEPA	C10938
NDPS	C10987
MOCA	C10999
DCNA	C11000
AMPA	C11033
THTA	C11072
THTC	C11074
DTHT	C11076
EPTC	C11081
UTHT	C11082
HCBD	C11091
DMSO	C11143
CCCP	C11164
PMEG	C11184
CTAB	C11275
ACNU	C11276
PMEA	C11277
MTAB	C11279
MEGA	C11483
HMMF	C11488
AMCC	C11490
NOPM	C11492
DIDS	C11591
FMLP	C11596
IACI	C11600
mCPP	C11738
OOHL	C11841
AHBA	C12107
Enin	C12140
AMAC	C12143
NMDA	C12269
NAAG	C12270
NADA	C12271
NAME	C12415
AAME	C12422
DDHK	C12435
Lime	C13140
SQDG	C13508
NBQX	C13667
CNQX	C13668
AMPA	C13672
MBTA	C13677
MPTA	C13678
DAPA	C13679
THIP	C13693
ZAPA	C13695
SITS	C13702
NPPB	C13705
DNDS	C13706
IBMX	C13708
4-AP	C13728
MBED	C13748
CDPC	C13753
LGE2	C13807
LGD2	C13808
R-L3	C13824
2-AG	C13856
Ba2+	C13881
Sr2+	C13884
HPTE	C14136
DCPA	C14229
DBCP	C14336
PCNB	C14338
NDEA	C14422
BPMC	C14425
DDVP	C14430
EDDP	C14436
DPPD	C14501
HEMA	C14530
TMPT	C14538
MPMC	C14579
MNNG	C14592
Fe2+	C14818
Fe3+	C14819
DCVG	C14868
DIBP	C15205
UDMA	C15448
ROOH	C15498
GC-1	C15618
HBOA	C15769
Mas7	C15944
Mas8	C15945
PhIP	C16038
MTIC	C16250
AFMU	C16365
AAMU	C16366
AI-2	C16421
EDDP	C16659
EMDP	C16660
NS-5	C17368
PS-5	C17370
PS-6	C17371
MSBQ	C17570
G418	C17703
MDCA	C18077
OCDF	C18113
MLCL	C18129
PFOS	C18142
TBTO	C18149
DGHS	C18168
DGTS	C18169
OCDD	C18180
ICSH	C18183
cPMP	C18239
MLIF	C18287
NS4A	C18291
NS5A	C18292
4MSK	C18346
EDDI	C18382
MCPA	C18528
MCPB	C18529
BPPS	C18602
DNOC	C18653
UWM6	C18678
MTMC	C18747
IPSP	C19000
TEPP	C19017
SWEP	C19062
ANTU	C19136
EPBP	C19148
BCME	C19158
HMPA	C19250
MeIQ	C19254
Talc	C19292
DCIP	C19350
DMBA	C19488
TEPA	C19543
AF-2	C19558
NNAL	C19574
AFP1	C19587
Ni2+	C19609
Mn2+	C19610
Mn3+	C19611
HClO	C19697
DHHA	C19830
FAMP	C19872
TBPS	C19930
GTX5	C20018
GTX6	C20019
GTX8	C20020
TR 1	C20045
IbTX	C20055
MgTX	C20057
DBAA	C20123
CTOP	C20160
BNTX	C20167
CBDV	C20217
HTPA	C20258
DM 1	C20259
DCVC	C20317
DCVT	C20318
LTAB	C20389
CBGA	C20406
DHST	C20445
TMTT	C20700
DCDC	C20710
2-5A	C20935
Water	C00001
NADPH	C00005
NADP+	C00006
Donor	C00030
L-Asp	C00049
Metal	C00050
L-Arg	C00062
CH3OH	C00132
D-Ala	C00133
Thiol	C00145
Cyano	C00177
NH2OH	C00192
Light	C00205
DMAPP	C00235
Amide	C00241
HCO3-	C00288
Urate	C00366
CoQH2	C00390
Penam	C00395
PGF2a	C00639
Base1	C00701
Base2	C00701
Amine	C00706
Xylan	C00707
5-HTP	C01017
H4MPT	C01217
THMPT	C01217
AA861	C01349
FADH2	C01352
H2CO3	C01353
Lipid	C01356
NH4OH	C01358
PQQH2	C01359
Ricin	C01362
X-Trp	C01365
FK506	C01375
mAMSA	C01553
VP-16	C01576
FMNH2	C01847
PGF2b	C02314
Ester	C02391
"2,4-D"	C03664
GABOB	C03678
DHICA	C04185
AICAR	C04677
Apiin	C04858
Rutin	C05625
CH3-R	C05694
SHCHC	C05817
Optal	C05979
Ursin	C06186
ApppA	C06197
Levan	C06215
Boron	C06266
XV638	C06488
Hemin	C06767
4-CPA	C07088
Cutin	C07299
Afrin	C07363
Soman	C07494
Vfend	C07622
7-ACA	C07756
Bixin	C08582
Escin	C08921
Toxol	C08979
Canin	C09354
Tutin	C09570
Butin	C09614
Ledol	C09698
Neral	C09847
Nerol	C09871
Morin	C10105
Aloin	C10305
Rhein	C10401
EMTDB	C10939
ITOPA	C10951
Imide	C10972
Amdro	C10994
Mitac	C10995
F5231	C11097
F6285	C11125
VM-26	C11153
Tiron	C11159
SN-38	C11173
DAMGO	C11318
CHAPS	C11321
Sugar	C11477
HSO3-	C11481
E3040	C11593
D1927	C11717
Sarin	C11764
YC-17	C11994
MRD A	C12007
MK826	C12017
FK520	C12102
104-1	C12403
100-1	C12405
104-2	C12407
100-2	C12408
124-1	C12409
QUOSP	C12667
Am 80	C12864
cADPR	C13050
NAADP	C13051
Ether	C13240
Xenon	C13373
G 511	C13548
mCPBG	C13646
5-HTQ	C13664
MK801	C13737
BzATP	C13744
PPADS	C13745
S9947	C13771
XE991	C13779
DHS-I	C13837
PGL3a	C13937
PGL3b	C13938
Equol	C14131
Mirex	C14184
Aurin	C14213
PCB 8	C14246
Furan	C14275
NF 45	C14293
Sutan	C14323
PCB 1	C14353
PCB 9	C14354
TMPTA	C14537
Ziram	C15229
Maneb	C15231
Zineb	C15232
U6952	C15285
TTNPB	C15634
CITCO	C15639
DIBOA	C15770
FK463	C15819
X-206	C15847
Myxol	C15919
Mas17	C15946
GLP-1	C16048
GLP-2	C16049
TIP39	C16053
CCK-8	C16114
INSL5	C16178
CAI-1	C16640
2-PSA	C16657
2-PGA	C16658
R'-SH	C16736
DTX 1	C16870
PTX 1	C16871
Dmask	C17415
CAP-A	C17515
4-HPB	C17690
LL-37	C18313
AA-2G	C18339
Nabam	C18748
Naled	C18749
H4SPT	C18802
GSSeH	C18871
Butam	C18896
Saran	C18992
Dinex	C19038
Disul	C19071
Erbon	C19072
Alsol	C19131
Iprit	C19164
MeIQx	C19255
Eosin	C19416
ISP-1	C19914
Azide	C19935
DTX-4	C20005
PTX 2	C20012
GYM A	C20025
CTX 3	C20042
Abrin	C20068
PND-3	C20138
AGP-3	C20139
DPDPE	C20164
DSLET	C20165
AM251	C20220
NBMPR	C20439
AADPR	C20658
2-APB	C20698
NAAG2	C20776
P-DPD	C20959
P-HPD	C20960
Nadide	C00003
Oxygen	C00007
CoA-SH	C00010
AdoMet	C00019
5'-AMP	C00020
Oxydol	C00027
Heme B	C00032
Zn(II)	C00038
DNAn+1	C00039
RNAn+1	C00046
R-COOH	C00060
Serine	C00065
Copper	C00070
Cu(II)	C00070
Hydron	C00080
Sulfur	C00087
Uracil	C00106
Biotin	C00120
5'-IMP	C00130
Bios I	C00137
GlcNAc	C00140
Phenol	C00146
Malate	C00149
Co(II)	C00175
Flavin	C00176
Photon	C00205
Niacin	C00253
Neu5Ac	C00270
Fibrin	C00290
Nickel	C00291
PtdGro	C00344
L-Dopa	C00355
Casein	C00367
Starch	C00369
Sterol	C00370
Zeatin	C00371
Glycan	C00420
Chitin	C00461
Halide	C00462
Indole	C00463
Mannan	C00464
Folate	C00504
Quinol	C00530
Iodide	C00708
Malate	C00711
Oleate	C00712
Panose	C00713
Pectin	C00714
Pterin	C00715
Serine	C00716
Hexose	C00738
Niphen	C00870
Murein	C00889
GalNAc	C01074
AppppA	C01260
GppppG	C01261
LacCer	C01290
Core 3	C01306
3'-AMP	C01367
3'-UMP	C01368
Aldose	C01370
Alkane	C01371
Alkene	C01372
FK 506	C01375
Fustin	C01378
Iodine	C01382
NH2Mec	C01386
Octane	C01387
Phytol	C01389
Prenol	C01390
Xylose	C01394
Base Q	C01449
Ketone	C01450
Toluol	C01455
Ethyne	C01548
Kepone	C01792
Rubber	C02321
Abrine	C02983
Inulin	C03323
Neu5Gc	C03410
Evodin	C03514
HS-CoM	C03576
DHOMST	C03944
XppppX	C04392
2-Dahp	C04691
DIMBOA	C04720
FAICAR	C04734
5-HETE	C04805
SAICAR	C04823
Lc4Cer	C04910
Core 4	C04917
Acetol	C05235
Cortol	C05482
Lignin	C05615
5-MeOT	C05659
3'-CMP	C05822
Rattex	C05851
Cozyme	C05944
Ilopan	C05944
Pantol	C05944
Pinene	C06077
Uvasol	C06186
3'-GMP	C06193
UppppU	C06198
Globin	C06258
Carbon	C06265
WIN VI	C06490
Heroin	C06534
Biuret	C06555
Silver	C06710
Hemine	C06767
Acuvel	C06835
Mepron	C06835
311C90	C07218
Mezlin	C07221
Prenal	C07330
Largon	C07384
Aldrin	C07552
GnRH-I	C07607
RU-486	C07652
Alliin	C08265
Zierin	C08345
Ribose	C08353
Ginnol	C08385
Vicine	C08437
Butein	C08578
Crocin	C08589
Lutein	C08601
Euphol	C08624
Lupeol	C08628
Cyanin	C08639
Ryania	C08705
Malvin	C08718
Okanin	C08724
Aescin	C08921
Rhazin	C09026
Enmein	C09090
Prunin	C09099
Ergine	C09160
Harman	C09209
Fraxin	C09266
Osthol	C09280
Cnicin	C09362
Damsin	C09386
Ivalin	C09488
Paucin	C09525
Butrin	C09616
Cedrol	C09631
Daucol	C09652
Guaiol	C09676
Thymol	C09908
Kawain	C09947
Kavain	C09947
Santin	C10180
Tricin	C10193
Piceid	C10275
Emodin	C10343
Primin	C10390
Apiole	C10429
Iridin	C10465
Ononin	C10509
Orobol	C10510
Osajin	C10511
Ficine	C10594
Picein	C10720
Albine	C10747
Cardol	C10809
9-OHNF	C10924
Goltix	C10930
Pydrin	C10988
"2,4-DP"	C11020
MK-129	C11034
PCB 77	C11057
MC-338	C11063
Cartap	C11080
Assert	C11083
Ordram	C11086
Raiser	C11100
Isatin	C11129
Thiram	C11160
INF271	C11163
Kloben	C11188
HR 810	C11199
Rovrol	C11208
Rovral	C11208
NIK250	C11212
Ferbam	C11223
MK 571	C11239
Hexane	C11271
BQ 485	C11362
Fluo-3	C11369
ZD1694	C11372
GW1843	C11374
SN-38G	C11376
Carvol	C11383
C-1027	C11438
BQ 123	C11587
BQ 518	C11589
UH-301	C11698
HR 780	C11699
MK-329	C11710
Foscan	C11730
CB3717	C11737
ProPAM	C11765
U50488	C11796
Maltol	C11918
A47934	C12016
3-Ahba	C12107
Ismine	C12181
Tcm F2	C12366
Ralgin	C12958
Gypsum	C13194
NS 105	C13311
Vitrum	C13523
E 1020	C13546
CX-516	C13675
IAA-94	C13703
4-PIOL	C13710
NS-102	C13731
YC 170	C13760
E-4031	C13776
TRAM-3	C13785
1-EBIO	C13840
DCEBIO	C13844
OM-174	C13907
Ml4Cer	C13920
Ar4Cer	C13922
Ar5Cer	C13923
JSTX-3	C13931
MZ-338	C14127
PCB 52	C14199
PCB 47	C14247
PCB 15	C14248
NF 161	C14304
Pyrene	C14335
PCB 10	C14355
PCB 14	C14356
PCB 21	C14357
PCB 26	C14358
PCB 24	C14359
PCB 48	C14360
PCB 60	C14361
PCB 61	C14362
PCB 65	C14363
PCB 75	C14364
Cumene	C14396
"2,4-DB"	C14404
Captax	C14437
Captan	C14438
U19763	C14475
NM 394	C14492
Silvex	C14532
Durene	C14534
Meobal	C14579
U-6013	C14636
9-KODE	C14766
Fe(II)	C14818
Manzeb	C15225
HR1917	C15343
S 1033	C15450
U 0521	C15475
S 8308	C15551
Phenol	C15584
Purine	C15587
Glycol	C15588
Quinol	C15603
Prenal	C15604
Am 580	C15619
Heme A	C15670
Heme O	C15672
TRIBOA	C15771
C15810	C15810
C15813	C15813
C15814	C15814
C15815	C15815
Heme C	C15817
CE-108	C15822
BT1583	C15825
A54145	C15831
Pdn-21	C15876
RFRP-2	C16045
LEAP-1	C16063
LEAP-2	C16064
Agouti	C16103
RFRP-1	C16109
RFRP-3	C16110
INSL 3	C16124
CRSP-1	C16129
Amylin	C16130
CCK-33	C16133
Valine	C16436
Lysine	C16440
Quartz	C16459
cdiGMP	C16463
CTX-4B	C16852
S 1319	C16880
Kakuol	C16982
Kakoul	C16982
Elatol	C17118
NeoSTX	C17208
AL-294	C17302
AL-321	C17303
Prenol	C17628
JI-20A	C17704
JI-20B	C17705
Imetit	C17931
N-Adpt	C17949
183C91	C18056
Ayapin	C18078
PCB 81	C18114
Endrin	C18124
norBNI	C18130
Leptin	C18188
PAMP20	C18198
BDE 99	C18203
BDE 49	C18204
BDE 47	C18205
VC-PMG	C18340
VCP-NA	C18341
Asulam	C18350
DHKred	C18360
Oxamyl	C18419
Carbam	C18424
Diuron	C18428
Amobam	C18449
Diquat	C18577
D-D 92	C18627
Milneb	C18628
CH3Hg+	C18672
Dodine	C18723
Ethion	C18725
Fentin	C18729
Phoxim	C18757
Cosban	C18771
R1128A	C18840
R1128B	C18841
R1128C	C18842
R1128D	C18843
Folpet	C18860
GSSeSG	C18870
Ronnel	C18986
Tarzol	C19029
Fenson	C19030
Barban	C19059
Clofop	C19070
Isocil	C19108
Proxan	C19127
Cobalt	C19171
Dulcin	C19415
Picene	C19500
Xylene	C19551
Metepa	C19556
Silica	C19572
Ni(II)	C19609
Mn(II)	C19610
Gonane	C19639
[LysW]	C19885
DMXB-A	C19905
GTS-21	C19905
CTX 3C	C20001
CTX 4A	C20002
Apamin	C20048
AgTX 1	C20056
JZTX-I	C20100
JZTX-V	C20102
ACGP-3	C20140
Icilin	C20171
AG 3-5	C20171
DOHNAA	C20199
Baruol	C20200
AM 251	C20220
AM-251	C20220
Benzil	C20226
cThz-P	C20247
DHDMST	C20444
t-Anol	C20464
TC-AMP	C20641
cADPRP	C20742
C20817	C20817
C20818	C20818
C20819	C20819
C20821	C20821
C20822	C20822
C20823	C20823
C20911	C20911
C20912	C20912
C20913	C20913
C20914	C20914
C20915	C20915
C20916	C20916
Peptide	C00012
Ammonia	C00014
Protein	C00017
Glucose	C00031
Acetate	C00033
Glycine	C00037
Formate	C00058
Sulfate	C00059
tRNA(n)	C00066
Alcohol	C00069
Ethanal	C00084
Nitrite	C00088
Sucrose	C00089
Sulfite	C00094
Choline	C00114
Dambose	C00137
Adenine	C00147
Citrate	C00158
Mannose	C00159
Cyanide	C00177
Thymine	C00178
Acetone	C00207
Maltose	C00208
Oxalate	C00209
Guanine	C00242
Lactose	C00243
Nitrate	C00244
Taurine	C00245
Sulfide	C00283
Aniline	C00292
Inosine	C00294
Orotate	C00295
Quinate	C00296
Sulfide	C00297
Trypsin	C00298
Uridine	C00299
HMG-CoA	C00356
Dextran	C00372
Elastin	C00373
Heparin	C00374
RCH2NH2	C00375
Retinal	C00376
Steroid	C00377
Thiamin	C00378
Aneurin	C00378
Xylitol	C00379
Acetoin	C00466
Estrone	C00468
Ethanol	C00469
Pectate	C00470
Quinone	C00472
Chinone	C00472
Retinol	C00473
Ribitol	C00474
Phycite	C00503
(CH3)3N	C00565
Keratan	C00573
U 14583	C00639
Cholate	C00695
Alditol	C00717
Amylose	C00718
Betaine	C00719
Dextrin	C00721
Epoxide	C00722
Oxirane	C00722
Insulin	C00723
Lipoate	C00725
Nitrile	C00726
Orcinol	C00727
Tropine	C00729
Hexalin	C00854
Poly(A)	C00895
Adipoin	C01147
Phytate	C01204
12-OPDA	C01226
Lipid I	C01289
Mercury	C01319
Bromide	C01324
Cyanide	C01326
Fructan	C01355
Maleate	C01384
AACOCF3	C01397
Acyloin	C01398
Agarose	C01399
Alanine	C01401
Anilide	C01402
Anisole	C01403
Arg-OEt	C01404
Aspirin	C01405
Benzene	C01407
Benzoin	C01408
Boc-Asn	C01410
Borneol	C01411
Butanal	C01412
Cadmium	C01413
Casbene	C01414
Cocaine	C01416
Cyanate	C01417
Cycasin	C01418
Cys-Gly	C01419
Cystine	C01420
Daphnin	C01421
Gallate	C01424
Glu-Glu	C01425
Lactate	C01432
Loganin	C01433
Methane	C01438
Neamine	C01441
Ouabain	C01443
Oxamate	C01444
Poly(G)	C01445
Questin	C01448
Queuine	C01449
R-CO-R'	C01450
Salicin	C01451
Sorbose	C01452
Tacrine	C01453
Toluate	C01454
Toluene	C01455
Tropate	C01456
Tylosin	C01457
Tyr-OEt	C01458
Vitexin	C01460
Xanthan	C01464
Gelatin	C01498
Dulcose	C01697
Romicil	C01946
Sabinol	C02213
Cortell	C02821
Dicopac	C02823
Arcaine	C03047
Limonin	C03514
Juglone	C03840
CMP-KDO	C04121
m7GpppX	C04696
OPC-8:0	C04780
13-HPOT	C04785
Lipid X	C04824
His-Leu	C05010
Estriol	C05141
Dhurrin	C05143
Diimine	C05360
Calciol	C05443
Melanin	C05606
Indoxyl	C05658
Cumarin	C05851
Resivit	C05906
Ephdine	C05908
Motilyn	C05944
Panadon	C05944
Synapan	C05944
UN 1274	C05979
NA 1986	C05986
Tyrosol	C06044
Amidine	C06060
Myrcene	C06074
Adipate	C06104
UN 2642	C06108
Codeine	C06174
Hygrine	C06179
Arbutin	C06186
Levan n	C06215
Ectoine	C06231
Silicon	C06263
Arsenic	C06269
D-Idose	C06466
Coniine	C06523
Cicutin	C06523
Quinine	C06526
Eserine	C06535
Harmine	C06538
"2,5-DCP"	C06602
Danazol	C06938
Digoxin	C06956
Doxepin	C06971
Esmolol	C06980
Lindane	C07075
Styrene	C07083
"2,4,5-T"	C07100
Timolol	C07141
Sotalol	C07309
Zanosar	C07313
Epinine	C07453
A 64662	C07466
PCDD 48	C07557
Allicin	C07600
Silybin	C07610
WR 1065	C07651
AM 1155	C07661
Dapsone	C07666
Suramin	C07974
Synthos	C08136
Thyroid	C08215
Ajugose	C08238
Coprine	C08271
Kinetin	C08272
Cathine	C08300
Gramine	C08304
Skatole	C08313
Lucumin	C08335
Ginnone	C08386
Safynol	C08458
Wyerone	C08465
Indican	C08481
Giganin	C08488
Jasmone	C08490
Karakin	C08495
Betanin	C08540
Azafrin	C08581
Betulin	C08618
Fernene	C08625
Inuline	C08659
Atisine	C08660
Elatine	C08681
Icacine	C08690
Ovatine	C08703
Nomilin	C08773
Quassin	C08776
Quassin	C08778
Cymarin	C08859
Gitoxin	C08866
Dioscin	C08897
Gitonin	C08900
Osladin	C08905
Tigonin	C08915
Aloesin	C08994
Khellin	C09010
Apodine	C09034
Aricine	C09037
Brucine	C09084
Ingenol	C09112
Phorbol	C09155
Strigol	C09190
Esculin	C09264
Ficusin	C09305
Rutarin	C09309
Samidin	C09310
Seselin	C09312
Amurine	C09334
Calaxin	C09353
Boldine	C09365
Encelin	C09404
Emetine	C09421
Euponin	C09449
Liatrin	C09493
Incanin	C09494
Nobilin	C09518
Tenulin	C09557
Neopine	C09594
Carotol	C09628
Copaene	C09639
Lubimin	C09700
Petasin	C09706
Rugosal	C09717
Sirenin	C09733
Ciratin	C09755
Aucubin	C09771
Iridial	C09777
Genipin	C09780
Evodone	C09858
Thujone	C09906
Nepodin	C09954
Musizin	C09954
Chrysin	C10028
Diosmin	C10039
Fisetin	C10041
Flavone	C10043
Dinatin	C10058
Hyperin	C10073
Isoetin	C10079
Morusin	C10106
Alexine	C10124
Anibine	C10127
Cassine	C10136
Robinin	C10178
Wogonin	C10197
Cajanin	C10203
Cajanol	C10204
Daidzin	C10216
Gemin A	C10229
Trapain	C10232
Fulvine	C10304
Aloin A	C10305
Embelin	C10342
Lawsone	C10368
Lucidin	C10369
Cynarin	C10445
Eugenol	C10453
Irilone	C10467
Safrole	C10490
Sarisan	C10493
Shogaol	C10494
Luteone	C10498
Inermin	C10502
Pisatin	C10516
Sojagol	C10529
Texasin	C10536
Cubebin	C10549
Taxol B	C10579
Vertine	C10585
Decalin	C10589
Evoxine	C10670
Aspidin	C10672
Filicin	C10693
Paeonol	C10712
Otobain	C10728
Hoe 933	C10757
Bilobol	C10770
Matrine	C10774
Germine	C10807
Irehine	C10810
Jervine	C10811
Populin	C10823
Peimine	C10830
Sesamol	C10832
Zinniol	C10840
Brugine	C10849
Savinin	C10880
Sesamin	C10882
Benomyl	C10896
Benlate	C10896
NSK-850	C10959
SC-1271	C10969
S-23031	C10990
S-23121	C10993
Amitraz	C10995
"2,4-DMA"	C11003
"2,6-DMA"	C11004
"2,4-DNT"	C11006
Linuron	C11007
"2,6-DNT"	C11008
Dosanex	C11011
Cremart	C11022
S-53482	C11035
Daconil	C11037
(-)-ABA	C11060
Bifenox	C11066
MC-4379	C11066
MC-3761	C11067
MC-5127	C11068
MC-6063	C11069
MC-7181	C11070
Matacil	C11071
KWG4168	C11124
Neburon	C11188
Lenacil	C11200
Fenuron	C11224
DU-6859	C11248
Carmine	C11254
NAc-LLY	C11330
PGA1-GS	C11367
Tomudex	C11372
RS 5139	C11373
1843U89	C11374
Carvone	C11383
Evisect	C11473
Propene	C11505
LDS-751	C11601
Lamiide	C11644
DuP 697	C11704
Mirasan	C11716
L791456	C11718
L787257	C11719
MM13902	C11755
Miotine	C11763
Abietol	C11882
Abietal	C11887
HMR3647	C12009
RU66647	C12009
GAR 936	C12012
ABT-773	C12020
GE2270A	C12068
Valimon	C12112
C26-CoA	C12146
Crinine	C12162
Hamayne	C12164
Fe(CN)3	C12217
Fe(CN)2	C12218
Decanal	C12307
OM 4842	C12414
D 788-1	C12427
Tegafur	C12673
Acrinol	C12677
Kainate	C12819
KAO 264	C12948
Betadex	C13183
Azulene	C13392
Titania	C13409
